Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Purples,3,210.9322899,34519.0331,Education,70.3107633,No,490.949486,Yes,Female,After_16:00,0.361615615,0.951628063,1.515957196,7.638647174,4.279273299,2.951866325,9844,36.74736277,374.4166032,5658.328066,50878.89962,No,241031.3978,19.34984763,134.3714624,68.76865218,5023.914199,100,45_and_up,5,659.5357632,16,Motorcycle_or_truck,Public_Sector,546.9317434,2,Yes
Browns,6,264.3277552,31351.69278,Environment,88.10925174,No,355.8274774,Yes,Male,By_16:00,0.7705525,0.838932775,1.615015578,0.000822989,3.203153135,9.803301108,5423,59.93095569,421.5801088,4401.434992,49828.72961,No,126613.1937,20.53241605,175.7613677,NA,7861.349494,90,45_and_up,2,633.553841,9,Foot_or_bicycle,Hightech,437.0979908,0,NA
Greys,8,233.0801487,37892.18936,Military,77.69338291,No,487.7144994,Yes,Female,After_16:00,0.157182826,0.264750127,5.743599378,2.380873135,6.859539496,2.12176379,8892,7.007061481,480.573866,5838.292726,56313.75207,Maybe,237865.433,21.92199503,86.72329748,74.31443327,6123.955131,30,45_and_up,2,689.4769795,8,Motorcycle_or_truck,Public_Sector,416.3781002,0,Yes
Purples,4,660.1614336,83609.89256,Healthcare,220.0538112,No,379.9520313,Yes,Male,After_16:00,0.525149718,0.065740613,6.712651246,6.095433971,9.657223967,1.023326763,4095,15.58717608,325.6356579,4450.791629,45522.17198,No,144363.5461,18.04537774,221.6683166,95.30311236,48653.73364,NA,30-45,5,613.9397913,13,Car,Hightech,565.7449921,1,Yes
Greys,NA,357.6306509,65229.37622,Military,119.210217,No,547.1794102,No,Female,By_16:00,NA,0.292033192,5.130604394,3.291116678,6.355183683,6.048534303,9081,59.91721691,440.8980606,6353.590224,54415.79707,Maybe,299405.307,20.99757273,104.4800366,NA,14340.28605,30,30-45,2,665.4805923,6,NA,Hightech,427.9087935,0,No
Pinks,5,502.4045612,120415.6975,Social,167.4681871,No,719.0362518,No,Female,After_16:00,0.570670847,0.999290698,1.737409451,9.810634174,6.806339463,1.739660916,6795,1.267114421,651.3608744,8493.084267,75873.96357,No,517013.1314,25.52177256,266.2522226,77.8285217,28223.06186,70,30-45,1,909.0300934,6,Car,Industry_or_other,501.8033625,1,Yes
Pinks,6,88.26816508,8956.941621,Financial,29.42272169,No,304.4226062,Yes,Male,After_16:00,0.091133171,0.424056117,9.83354565,7.48425524,8.141938632,9.736450689,7860,76.62374042,369.0084303,3782.242923,47851.39668,No,92673.12319,19.20959214,246.1512052,99.19526109,905.1192736,60,45_and_up,2,648.5398033,7,Foot_or_bicycle,Student_or_Unemployed,571.9799108,0,Yes
Yellows,9,1486.55441,126135.682,Healthcare,495.5181366,Yes,254.5531085,Yes,Male,After_16:00,0.05177803,0.576903093,1.745751039,0.437451142,7.599897853,3.114633756,4373,44.86453915,312.9909569,3171.512999,44939.54921,Yes,64797.28505,17.69155044,355.772883,9.989298135,246043.7419,80,45_and_up,2,645.6878203,13,Public_or_other,Hightech,677.0812964,0,Yes
Oranges,2,89.26189216,11219.32843,Military,29.75396405,No,377.0700403,Yes,Male,After_16:00,NA,0.222677761,1.019035883,9.231081114,9.765310667,2.579163429,6327,46.24306785,440.1006547,4650.901712,50146.61836,Maybe,142181.8153,20.97857609,188.1292747,2.077549882,925.0523409,30,45_and_up,2,619.1970564,6,Motorcycle_or_truck,Hightech,370.7989263,1,No
Reds,6,477.3872071,84317.39566,Other,159.129069,No,529.8679629,No,Male,After_16:00,0.148817027,NA,2.819604368,1.951669324,7.345951167,3.774188494,3173,39.08856185,448.9002047,6196.480039,56028.06175,Maybe,280760.0581,21.18726515,61.59005436,84.04384414,25491.18968,50,45_and_up,1,698.4815459,10,Foot_or_bicycle,Industry_or_other,482.9691307,0,Yes
Whites,4,171.5504005,28123.12515,Environment,57.18346685,No,491.805179,Yes,Male,By_16:00,0.194329541,0.989923142,3.104971112,6.626129332,3.816871997,6.657365323,6810,24.19171531,489.6790303,5897.409851,59129.79182,No,241872.3341,22.12869247,13.80795262,92.87481678,3337.132348,90,Below_30,2,741.9521093,10,Public_or_other,Industry_or_other,NA,0,Yes
Browns,2,754.976931,124895.6941,Social,251.658977,No,496.2894454,Yes,Female,After_16:00,0.130370882,0.424769275,8.565035204,3.543351623,2.247485965,2.17018228,3958,24.06784114,458.3037729,5879.502,55680.78532,No,246303.2136,21.40803057,57.91255659,63.06144272,63593.89967,70,45_and_up,3,692.0928384,6,Foot_or_bicycle,Public_Sector,459.9809965,1,Yes
Browns,10,212.9515369,22001.30664,Healthcare,70.98384563,No,309.9480797,Yes,Female,By_16:00,0.781399105,0.76905811,7.556755531,4.770854944,0.098330239,7.227206104,9132,49.49157676,393.4004812,3886.281759,45726.42893,No,96067.81211,19.83432583,243.7981552,53.63420737,5119.690186,80,45_and_up,1,580.3872645,7,Car,Student_or_Unemployed,390.6640469,0,No
Turquoises,9,2275.57182,407864.9678,Social,758.5239399,Yes,537.7087608,No,Male,By_16:00,0.632436458,0.511861195,NA,0.539931734,6.473135594,7.187411014,6677,13.03081899,469.2809506,6315.64951,58262.71616,Yes,289130.7115,21.6628934,48.75926106,64.82406321,576127.0913,70,Below_30,2,727.845279,10,Public_or_other,Industry_or_other,503.4430947,2,Yes
Purples,4,641.3618014,78444.87345,Financial,213.7872671,No,366.9295861,Yes,Male,After_16:00,0.877545532,0.675335345,3.887263045,3.098213235,7.556167669,6.512674107,4528,24.90178479,406.7045475,4482.704956,49029.37061,No,134637.3212,20.16691715,171.2919176,67.57149976,45928.78286,60,45_and_up,2,625.6662655,11,Foot_or_bicycle,Public_Sector,445.8784284,0,Yes
Greens,3,299.2564719,31862.89789,Social,99.75215731,No,319.4206395,Yes,Male,By_16:00,0.921799471,0.23760699,0.674108858,2.579646006,3.31979454,6.628102611,5968,82.90643899,510.8936568,4215.993709,NA,No,102029.545,22.60295682,271.0430467,4.260233371,10060.24505,70,30-45,1,842.663098,10,Motorcycle_or_truck,Public_Sector,701.8334858,0,No
Blues,3,1994.670388,448075.3166,Healthcare,664.8901293,Yes,673.9088111,No,Male,By_16:00,0.60770083,0.386901868,7.587876152,1.827182989,1.192597414,8.819934228,7256,23.35523656,86.05989479,6911.207901,23198.97387,Yes,NA,9.276847244,533.8471671,69.37702454,442753.7742,80,45_and_up,1,250.4476669,12,Motorcycle_or_truck,Student_or_Unemployed,211.205761,0,No
