Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,index_col
7.0,,36192.6012,Social,84.02990175,No,430.7109784,Yes,Female,After_16:00,0.9184835440000001,0.060677374000000006,0.84148817,,2.594794629,8.788499709,3009.0,88.71517237,364.831911,5036.773606000001,48881.60604,No,185511.9469,19.10057358,156.5629837,87.35621586,7155.0542909999995,70.0,45_and_up,1.0,640.397351,10.0,Car,Services_or_Retail,537.9550666,,No,8531
7.0,214.83044410000002,21313.95639,Healthcare,71.61014804,No,297.63877010000004,Yes,Female,After_16:00,0.29814271,0.873187012,6.480340601,9.529924252999999,8.778081085,3.0784266419999997,8307.0,62.93088486,559.7378017999999,4095.863305,65106.76738,No,88588.83746,23.65877854,267.1254548,16.83231001,5209.62345,80.0,Below_30,3.0,865.4384233999999,13.0,Motorcycle_or_truck,Hightech,663.8210496,0.0,No,1130
9.0,1890.8558920000003,,Social,630.2852975,Yes,382.5056118,Yes,Female,By_16:00,0.663344364,0.651246026,3.7518253360000005,1.446812721,1.231399267,4.306956204,3831.0,29.54898498,565.8980242,4956.852166,64856.62926,Yes,146310.543,23.78861123,151.2602925,94.71256321,397899.8415,70.0,45_and_up,3.0,831.9542594999999,9.0,Motorcycle_or_truck,Services_or_Retail,568.7909531,0.0,No,6093
10.0,652.1808086,64009.89467,Education,217.39360290000002,No,294.4424023,Yes,Female,After_16:00,0.6055331429999999,0.19989067300000002,9.020692038,3.6647330289999998,6.65041565,,7756.0,72.04932836,288.9605107,3522.3450439999997,39827.72121,No,86696.32827,16.99883851,294.73939889999997,44.97772572,47487.37217,100.0,30-45,2.0,543.9730371,10.0,Public_or_other,Public_Sector,508.9286745,1.0,No,7063
7.0,1233.312778,205859.9375,Education,411.1042593,Yes,500.7487342,No,Male,After_16:00,0.87100886,0.629373129,6.174111185,2.3724890430000003,0.7101467140000001,8.218331416,7030.0,51.75590261,517.0674941999999,6041.62233,60231.684779999996,Yes,250749.2948,22.73911815,52.69174218,46.23879967,169427.8163,100.0,30-45,3.0,740.5129391,13.0,Car,Hightech,450.15464180000004,0.0,Yes,7983
10.0,920.7628635,109393.1739,Military,306.9209545,No,356.4213269,Yes,Male,By_16:00,0.655731957,0.5817385939999999,3.508689932,5.240503887,7.412305917,9.229635333,3516.0,87.92532147,394.41558599999996,4353.044441,49046.16801,Maybe,127036.1623,19.85989894,178.2447716,90.39530852,94517.39327999999,30.0,30-45,4.0,639.1761290000001,6.0,Motorcycle_or_truck,Industry_or_other,497.11993780000006,0.0,Yes,6592
5.0,533.8079313000001,52156.86732,Social,177.9359771,No,293.1215382,Yes,Male,After_16:00,0.011926553999999999,0.6350961970000001,4.59250272,1.341118829,1.6724743619999998,9.605456211,4909.0,66.80918543,480.07936629999995,3891.374115,58866.66917000001,No,85920.23617999999,21.91071351,270.3669084,,31849.14792,70.0,30-45,4.0,797.8456208,,Car,Public_Sector,672.9240747,1.0,No,9089
1.0,1338.652891,227116.3902,Financial,446.21763030000005,Yes,508.9812119,No,Female,By_16:00,0.78058883,0.31328452,0.613477931,2.435449641,3.003414802,3.097720752,3521.0,62.92793825,288.79812660000005,5667.408372,32560.478010000003,Yes,259061.87399999998,16.99406151,510.83702130000006,38.47977819,199566.3913,60.0,Below_30,0.0,328.2935498,12.0,Public_or_other,Public_Sector,34.95422934,0.0,Yes,4607
3.0,755.8314256,92523.05053,Social,251.9438085,No,367.2368496,Yes,Female,By_16:00,0.372094515,,9.785931522,8.358094592,0.682796075,3.2446699239999997,7024.0,29.02700342,391.95734280000005,4456.283182,49168.058560000005,No,134862.9037,19.79791259,171.1961611,39.19941562,63737.62646,70.0,45_and_up,3.0,640.9732216,10.0,Foot_or_bicycle,Industry_or_other,502.9758562,3.0,No,2193
1.0,1474.151284,183539.0779,Environment,491.3837614,Yes,,Yes,Female,By_16:00,0.41867174100000004,0.16061949,8.361526588,4.589094741,1.22675485,4.70070296,5424.0,81.86596988,380.0870014,4495.321404,53060.65501,Yes,139513.2611,19.4958201,272.0351669,90.86687351,241959.3847,90.0,45_and_up,1.0,733.8633473,15.0,Car,Public_Sector,708.867144,2.0,Yes,5551
5.0,220.55102250000002,21800.12019,Environment,73.51700749,No,296.53165889999997,Yes,Male,By_16:00,0.490652311,0.40652833299999996,9.553684148,5.186085213999999,7.422534602000001,,8930.0,50.9566328,494.94110650000005,3955.1988020000003,58688.186310000005,No,87931.02472,22.24727189,231.80800950000003,2.183632157,5488.267398,90.0,45_and_up,0.0,780.5753702000001,15.0,Car,Hightech,610.950417,1.0,No,752
3.0,385.6250518,67597.60279,Military,128.5416839,No,525.8807939,No,Female,By_16:00,0.041288727000000004,0.196733908,1.402746399,7.617389921,9.21387485,6.313172532,3212.0,55.48130968,470.76805199999995,6200.344043,56411.47942,Maybe,276550.6094,21.69718996,83.20446192,88.18586022,16661.50619,,30-45,0.0,689.5415383999999,7.0,Motorcycle_or_truck,Industry_or_other,426.5244244,,Yes,4493
5.0,184.5807934,24979.64661,Healthcare,61.52693113,No,405.9953284,Yes,Male,After_16:00,0.327006552,0.018201538,4.273041158,4.774046896000001,7.211010302,1.630163835,6086.0,11.21530489,420.90290210000006,4901.759088000001,52156.4624,No,164832.2067,20.51591826,122.9066155,53.72377257,3857.090186,80.0,45_and_up,1.0,671.2014849,12.0,Public_or_other,Services_or_Retail,503.57868030000003,0.0,No,7614
1.0,280.89828989999995,29264.95331,Environment,93.6327633,No,312.5503539,Yes,Female,After_16:00,0.44968926600000003,0.8095165670000001,0.152004941,7.911161436,2.261571321,8.454192826,3466.0,86.44969254,499.70273729999997,4124.909013,59774.63972000001,No,97687.72372000001,22.35403179,227.99498709999997,60.35524961,8870.727127,90.0,30-45,2.0,795.8802102999999,,Foot_or_bicycle,Public_Sector,629.7854227999999,0.0,No,5064
6.0,214.87302749999998,30332.50805,Social,71.62434251,No,423.4944012,Yes,Female,By_16:00,0.150610727,0.599098117,1.947229335,8.221018638,2.965764485,6.760945727999999,8184.0,59.44364208,442.7820823,5120.508177000001,53939.15509,No,179347.5079,21.04238775,95.86540545,3.246863559,5211.670783,70.0,Below_30,2.0,686.8790464,10.0,Motorcycle_or_truck,Hightech,492.0514643,3.0,Yes,5085
4.0,303.0122741,29920.51938,Healthcare,101.00409140000001,No,296.2307662,Yes,Male,After_16:00,0.991043929,0.387615634,4.18034598,3.373147165,0.021904467,5.140544404,3792.0,73.25043785,499.0909772,3960.489617,59942.160489999995,No,87752.66687,,253.77557430000002,81.35907769,10312.83057,80.0,Below_30,2.0,804.4345057999999,10.0,Car,Services_or_Retail,651.2590994,0.0,Yes,3015
3.0,851.7735018,144856.2367,Other,283.9245006,No,510.1928025,No,Male,After_16:00,0.278985251,0.54956549,0.617786301,0.655900687,3.758939572,2.132712735,4072.0,37.69628191,333.76194330000004,5769.4519119999995,46035.456,Maybe,260296.6957,18.26915278,170.4961621,67.47958211,80907.04654,50.0,Below_30,2.0,583.1707443,10.0,Public_or_other,Services_or_Retail,463.5314302,1.0,Yes,4590
7.0,229.9168466,28894.757339999996,Environment,76.63894887,No,377.0244473,Yes,Male,By_16:00,0.368613364,0.968580387,7.1915040999999995,0.7396604379999999,6.034703134,,3534.0,48.24484698,471.6546641,4713.553801,55404.43622,No,142147.4339,,126.62124750000001,32.99726713,5960.167433,90.0,Below_30,0.0,707.0318052,12.0,Foot_or_bicycle,Public_Sector,489.6803256,0.0,No,6282
5.0,663.4537283,111897.7594,Other,221.15124280000003,No,505.9784335,No,Male,After_16:00,0.072162851,0.408165715,2.657137546,1.1388784859999999,3.067735496,2.15760251,7275.0,46.50749729,428.5305558,5916.845447,53958.993270000006,Maybe,256014.1752,20.70097958,74.06217075,57.31816117,49139.02342,50.0,45_and_up,4.0,677.0343748,7.0,Public_or_other,Services_or_Retail,481.5180626,1.0,Yes,3371
3.0,517.6353436,88013.77918,Healthcare,172.5451145,No,510.09140080000003,No,Male,By_16:00,0.35390656200000004,0.577748002,,0.200429054,5.12056641,7.858451146,5147.0,85.96475273,439.6412462,5980.196500999999,54158.191620000005,No,260193.2372,20.96762376,79.98744016,,29954.36167,80.0,Below_30,4.0,670.9327422,7.0,Foot_or_bicycle,Services_or_Retail,448.49296110000006,0.0,No,122
4.0,162.8968962,22355.53021,Social,54.29896539,No,411.71190010000004,Yes,Male,By_16:00,0.890754533,0.0075573030000000005,7.928673718,1.048891088,9.738602499,8.757071579,5922.0,26.48465091,425.14755650000006,4967.414114,50063.181710000004,No,169506.6887,20.61910659,157.237069,6.288802065,3012.6766079999998,70.0,Below_30,2.0,620.5925752999999,12.0,Foot_or_bicycle,Public_Sector,,0.0,No,417
1.0,101.0300077,15307.429269999999,Social,33.67666922,No,454.54107039999997,Yes,Male,By_16:00,0.9322548140000001,0.16218396599999998,3.953136208,6.945717817,9.740417297,0.813142825,5483.0,28.27668451,492.98389519999995,5531.378495,59445.44594,No,206607.5847,22.20324065,57.13551412,11.02209715,1177.794719,70.0,30-45,1.0,756.0860502,9.0,Public_or_other,Services_or_Retail,533.8928749,0.0,No,9353
9.0,1043.3678400000001,225925.5564,Environment,347.78927989999994,Yes,649.604716,No,Female,After_16:00,0.745062117,0.004985044,1.478486126,2.9959515989999996,9.841657486,3.091652936,9219.0,45.15484604,578.9614,7653.969959999999,71054.60987999999,Yes,421986.2871,24.06161674,194.21493230000002,27.95860351,121315.1725,90.0,Below_30,2.0,883.7304644999999,15.0,Public_or_other,Hightech,595.4094658,5.0,Yes,8630
3.0,299.08689219999997,40431.51324,Military,99.69563072,No,405.54950049999997,Yes,Female,By_16:00,0.516444304,0.24002919600000003,0.020313663,9.326132732,1.8985615969999998,5.703986131000001,7255.0,2.046080609,415.7546708,4887.004347,53057.489219999996,Maybe,164470.3974,20.39006304,140.4918999,76.0855708,10048.914420000001,30.0,30-45,3.0,695.2292418,6.0,Foot_or_bicycle,Industry_or_other,560.9901761,0.0,No,4196
4.0,1028.640354,63420.126189999995,Healthcare,342.88011800000004,Yes,184.9629735,Yes,Male,After_16:00,0.00119248,0.423095045,6.532799965,4.8751307210000006,3.15674583,8.859911487,5390.0,99.30254929,536.5032365000001,2922.636208,55130.131779999996,Yes,34211.301569999996,23.16253951,334.3419736,98.82989731,117919.6554,80.0,45_and_up,3.0,698.4253474,11.0,Public_or_other,Public_Sector,394.1522744,7.0,Yes,7708
10.0,582.1869451,81822.21118,Healthcare,194.06231499999998,No,421.6285432,Yes,Male,After_16:00,0.975204745,0.952007484,7.729949909,5.366477993999999,7.784994706,2.460337721,8393.0,32.57359045,352.99086580000005,4922.267163,46889.52873,No,177770.6284,18.78805114,166.5963529,33.86069313,,80.0,Below_30,1.0,609.4758124,12.0,Public_or_other,Public_Sector,499.2423578,0.0,No,6877
5.0,,,Financial,62.67061607,No,467.9915882,Yes,Male,By_16:00,0.961660849,0.10269163,8.52651723,4.78112211,6.562811562,9.766653518,4221.0,41.41498024,,5584.948078,54669.665160000004,No,219016.1266,21.27242578,71.57219537,14.5381842,,60.0,45_and_up,2.0,682.5966971,5.0,Car,Services_or_Retail,457.0660995,0.0,No,6283
6.0,648.8324607000001,63055.01169,Social,216.27748689999999,No,291.54681139999997,Yes,Female,By_16:00,0.67255218,0.622186519,8.808836665,0.5771508320000001,9.850555628,9.667816517999999,6884.0,14.31858712,360.2956632,3636.05944,42574.894830000005,No,84999.54323,18.98145577,277.1324435,99.35988931,,70.0,30-45,0.0,544.6152559,6.0,Car,Industry_or_other,382.3889559,0.0,Yes,5888
6.0,145.1401517,15750.34964,Healthcare,48.38005058,No,325.5546336,Yes,Male,After_16:00,0.454435121,0.413703297,0.42611052,6.653343700000001,2.070330868,1.072280221,5032.0,66.52057022,374.57928039999996,4004.704896,44397.20666,No,105985.8194,19.35405075,242.8485819,99.58815831,2399.009345,80.0,Below_30,2.0,563.0775866,8.0,Motorcycle_or_truck,Hightech,386.80154189999996,2.0,Yes,9332
6.0,429.8612825,57359.7716,Social,143.28709419999998,No,400.31359380000004,Yes,Female,By_16:00,0.7592930859999999,0.23032767,6.652012032000001,3.177641628,0.504952145,8.79254871,9014.0,93.76262373,366.60909910000004,4736.354136,46305.92462,No,160250.9733,19.14703891,176.2526427,90.44680998,20684.47845,70.0,45_and_up,1.0,591.1070616000001,11.0,Foot_or_bicycle,Student_or_Unemployed,442.2550261,0.0,Yes,8721
9.0,601.1092247,100122.897,Education,200.3697416,No,499.6907027,Yes,Male,By_16:00,0.304982821,0.191679342,8.563980651,2.321452503,3.021627222,2.677076445,6181.0,91.17762909999999,473.83097549999997,5944.568978,56548.07791,No,249690.7984,21.76765893,64.3905956,93.25477337,40358.403080000004,100.0,45_and_up,3.0,697.0008162,9.0,Car,Public_Sector,441.1677359,1.0,,9961
10.0,322.9448436,45039.871869999995,Environment,107.64828119999999,No,418.39843030000003,Yes,Female,After_16:00,0.574511937,0.7047329659999999,0.966974378,2.7662511889999997,1.041404852,2.345703607,6009.0,98.94609272,435.67671619999993,5055.337735,53492.88588,No,175057.2464,20.87287034,103.9113876,80.59995985,11705.800720000001,90.0,45_and_up,1.0,684.5135673999999,11.0,Foot_or_bicycle,Student_or_Unemployed,501.12935949999996,0.0,No,2131
2.0,264.854147,62144.32915,Financial,88.28471566,No,703.9081305,No,Male,By_16:00,0.465522831,0.027268447,8.483141656,,4.183560712,1.1349272540000002,8397.0,9.765081224,649.6063954,8338.294096,74943.85048,No,495486.6562,25.48737718,253.8040847,60.37131874,7892.475734999999,60.0,30-45,3.0,894.3604955,7.0,Foot_or_bicycle,Hightech,478.6478531,2.0,Yes,7431
8.0,343.88206660000003,42484.71243,Healthcare,114.6273555,No,370.63327710000004,Yes,Male,After_16:00,0.685212222,0.961288342,9.175639616,0.861755721,4.082141367,9.948726664,9327.0,76.967691,446.5596392,4599.45205,53417.50966,No,137369.0261,21.13195777,140.04885359999997,59.13929217,13264.057990000001,80.0,45_and_up,1.0,686.6185857999999,10.0,Car,Public_Sector,495.30316569999997,1.0,No,1601
8.0,902.8217117999999,99952.94472,Financial,300.9405706,No,332.1351605,Yes,Male,By_16:00,0.369377333,0.11359779099999999,9.566025068,4.21713613,3.055512826,1.5411388519999998,3758.0,85.35452457,383.1621146,4087.6758340000006,46165.91543,No,110313.7648,19.57452719,216.50142250000002,93.03240466,90876.1676,60.0,45_and_up,2.0,592.5517786,5.0,Car,Hightech,428.9847188999999,2.0,Yes,5934
4.0,1030.8446880000001,73917.31709,Healthcare,343.61489589999996,Yes,215.1167425,Yes,Male,After_16:00,0.9623032159999999,0.247385254,8.090226123999999,9.903278223,5.442372321000001,,9149.0,0.11349071300000001,296.52002819999996,2744.2074820000003,43310.740439999994,Yes,46275.21292,17.21975691,399.6207662,18.00775141,118424.8116,80.0,45_and_up,3.0,634.7308638999999,14.0,Car,Student_or_Unemployed,692.7023286,0.0,No,8674
10.0,326.4486363,60942.580729999994,Social,108.8162121,No,560.050562,No,Male,By_16:00,0.422415921,0.606751197,5.373822874,2.4935277780000003,7.493025721,3.6972778710000003,8148.0,41.77320562,411.7116452,6423.9289100000005,53417.797439999995,No,313656.632,20.29067878,109.32574960000001,13.3112693,11959.78423,70.0,Below_30,1.0,664.8065428,8.0,Public_or_other,Services_or_Retail,476.5220119,2.0,No,729
1.0,24.91794376,3008.777227,Environment,8.305981252,No,362.2422368,Yes,Male,After_16:00,0.8449836540000001,0.8165417909999999,2.233371395,0.679511132,9.560346971,8.014241143,4417.0,21.01865248,343.7571855,4309.936739,44933.56652,No,131219.4381,18.540689999999998,208.53015449999998,83.25060064,87.29530581,90.0,Below_30,0.0,590.7116396,12.0,Car,Services_or_Retail,490.21189780000003,0.0,Yes,4237
6.0,550.4338207999999,82216.91722999999,Environment,183.47794030000003,No,448.1024646000001,Yes,Female,After_16:00,0.872249962,0.5399012,7.9988838079999995,2.486369929,8.056236869,5.1255766419999995,7302.0,17.01872188,418.22831010000004,5317.481266,53162.0257,No,200795.8188,20.45063104,100.14563050000001,26.02359478,33857.6325,90.0,30-45,4.0,683.9552687999999,15.0,Motorcycle_or_truck,Services_or_Retail,525.4790866000001,1.0,Yes,3283
4.0,249.4954293,34607.27069,Education,83.16514309,No,416.1271105,Yes,Male,By_16:00,0.6962381259999999,0.393733007,5.848893991000001,3.723674808,2.615294913,0.5715028360000001,5242.0,13.89233267,468.6866953,5098.644496,55465.41084,No,173161.7721,21.64917309,93.29576778,26.97169913,7009.606168000001,100.0,30-45,3.0,700.3071355000001,16.0,Motorcycle_or_truck,Hightech,473.7527973,0.0,No,3561
6.0,244.6967754,37969.1596,Environment,81.56559179999999,No,465.50461730000006,Yes,Female,After_16:00,0.44989589999999996,0.186909895,2.0771160440000003,4.093537671,1.228500921,3.9742689039999997,8424.0,79.0004222,483.4118597,5621.869892000001,58747.182010000004,No,216694.5487,21.98662911,47.85575037,41.86762236,6744.511358,90.0,30-45,2.0,745.983195,14.0,Foot_or_bicycle,Industry_or_other,528.7241191,0.0,Yes,5722
2.0,366.9025138,83913.23776,Healthcare,122.30083789999999,No,686.1215277000001,No,Male,By_16:00,0.305831892,0.040065682000000005,0.601299051,6.2627151770000005,6.969940512999999,8.436638447,6444.0,70.49345376,659.5650542999999,8180.345385,75272.52606,No,470762.7507,25.68199864,246.8148418,8.017335157,15089.7958,80.0,Below_30,2.0,,9.0,Car,Hightech,471.44590210000007,0.0,Yes,7805
9.0,883.133808,107138.9094,Healthcare,294.377936,No,363.95020239999997,Yes,Male,By_16:00,0.109222117,0.980095411,4.480368749,7.826662302999999,0.20847478600000002,1.323673443,9569.0,52.90559244,396.2046215,4431.911267,47537.89222,No,132459.7498,19.90488939,189.0033325,63.76448045,86962.74713999999,80.0,Below_30,1.0,602.8567678999999,8.0,Motorcycle_or_truck,Public_Sector,419.75517659999997,0.0,No,2617
4.0,2144.491377,231002.0173,Financial,714.830459,Yes,323.1563713,Yes,Male,After_16:00,0.727192625,0.963751039,9.80183881,7.474332396,0.773900424,2.77834839,3535.0,32.79287182,585.1172280000001,4401.798169,,Yes,104430.0403,24.18919651,520.4547321,21.13618986,511707.4156,60.0,30-45,1.0,567.9053147000001,8.0,Foot_or_bicycle,Services_or_Retail,17.96834478,1.0,No,6491
3.0,1686.9133550000001,240058.0427,Social,562.3044516,Yes,426.9182683,Yes,Male,By_16:00,0.170703739,0.7461479209999999,8.758879665,5.233650149,9.57102939,3.7536632969999997,7763.0,12.70082747,500.33845830000007,5269.8596,56478.080760000004,Yes,182259.2078,22.36824665,124.0910314,55.83994864,316758.6008,70.0,,3.0,692.8528205,12.0,Public_or_other,Student_or_Unemployed,399.7127624,0.0,No,5429
